Date,Occurrence,Startup Name,Industry,Description,Location,Investors,Investment Type,Amount in USD,Website URL
06/03/2020,01/01/1900,"Paperboat
",E-commerce,Beverages and Snacks,Bangalore,"Advent Management, A91 Emerging Fund, and Trifecta Venture.

",Debt Financing,4000000,http://www.paperboatdrinks.com/
04/03/2020,01/01/1900,Soxytoes,E-commerce,Socks,Noida,Angel Networks,Angel,,https://soxytoes.com/
02/03/2020,01/01/1900,Chqbook.com,FinTech,Financial Services,Gurugram,Aavishkaar Capital,Series A,5000000,https://www.chqbook.com/
19/02/2020,06/01/1900,Unacademy,Education,Online Tutoring,Bangalore,"General Atlantic, Sequoia Capital India, and Facebook",Series D,110000000,https://unacademy.com/
18/02/2020,02/01/1900,MaxWholesale,E-commerce,B2B platform for groceries,New Delhi,IAN Fund and Al Falaj Investment Co,Series A,3000000,https://www.maxwholesale.in/
14/02/2020,01/01/1900,Simsim,E-commerce,E-commerce,New Delhi,Accel Partners,Series B,8000000,https://simsim.in/home
14/02/2020,01/01/1900,Friyey,Co-working Spaces,Co-working Spaces,Pune,Tarun Bhalla,Seed,,https://www.friyey.com/
11/02/2020,03/01/1900,Moengage,B2B SaaS,Intelligent Marketing Cloud,San Francisco/ Bangalore,Eight Roads Ventures,Series C,25000000,https://www.moengage.com/
11/02/2020,03/01/1900,Chaayos,Food and Beverages,Tea,New Delhi,"Think Investment, Tiger Global, SAIF Partners, Integrated Capital and Neeraj Arora and Innoven Capital",Series B,21500000,https://www.chaayos.com/
10/02/2020,01/01/1900,"FirstCry
",E-commerce,Baby Products,Pune,Softbank Vision Fund,Series E,296000000,https://www.firstcry.com/
10/02/2020,05/01/1900,Pepperfry,E-commerce,Furniture,Mumbai,Pidilite Industries,Series F,37000000,https://www.pepperfry.com/
06/02/2020,01/01/1900,Dot,Technology,Information Technology and Services,Gurgaon,PayU and Fosun RZ Capital,Seed,8000000,https://www.dotpe.in/
05/02/2020,01/01/1900,AlphaVector,Transportation,Bicycles,Mumbai,Avaana Capital and Titan Capital,Venture Series ,,https://www.frogcycles.in/
05/02/2020,01/01/1900,WizKlub,Education,Online Tutoring,Bangalore,Incubate Fund India and Insitor Impact Asia Fund,Seed,1000000,https://wizklub.com/
03/02/2020,06/01/1900,1mg,E-commerce,Medicine,Gurugram,Bill & Melinda Gates Foundation ,Venture Series,10000000,https://www.1mg.com/
03/02/2020,01/01/1900,RACEnergy,EV,Electric Vehicle,Hyderabad,GrowX Ventures,Seed,,https://www.racenergy.in/
03/02/2020,01/01/1900,Embibe,Education,AI based learning,Mumbai,Reliance Industries Limited (RIL),Venture Series,12625020,https://www.embibe.com/
31/01/2020,01/01/1900,"Adonmo
",Advertising,Advertising,Hyderabad,BAce Capital,Pre-Series A,3000000,https://www.adonmo.com/
31/01/2020,02/01/1900,DoubtNut,Education,Online Tutoring,Gurugram,Tencent Holdings,Series A,15000000,https://doubtnut.com/
30/01/2020,01/01/1900,MultiplyMyLeads,Real Estate,Real Estate,New Delhi,Frontline Strategy Funds and SucSEED Venture Partners.,Venture Series,,https://www.multiplymyleads.com/
13/01/2020,01/01/1900,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,9000000,https://www.pando.in/
13/01/2020,04/01/1900,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,8048394,http://shuttl.com/
10/01/2020,05/01/1900,Zomato,Consumer Internet,Online Food Delivery,Gurgaon,Ant Financial,Private Equity Round,150000000,https://www.zomato.com/
09/01/2020,05/01/1900,Mamaearth,E-commerce,Retailer of baby and toddler products,Bangalore,Sequoia Capital India,Series B,18358860,http://mamaearth.in/
09/01/2020,10/01/1900,BYJU'S,Education,E-learning,Bangalore,Tiger Global Management,Private Equity Round,200000000,http://byjus.com/
